patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Lan Lê,315397797051,26/06/1954,0882837120,anon_7d0ba96a@medviet-anon.vn,"338 Dương Bùi xã JaneThành phố, 895667",Huyết áp cao,3.68,Anh Huy Phạm,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Phúc Hải Hoàng,814054692650,27/08/1948,0739296632,anon_ffc626c6@medviet-anon.vn,"18 Bà Nhật Đặng JohnPhường, 338968",Tiểu đường,3.99,An Dương,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Minh Phạm,066571257237,03/01/1964,0733555443,anon_b1ebfd98@medviet-anon.vn,"64 An Đặng phố JaneThị xã, 380746",Khỏe mạnh,5.1,Phương Hoàng Lê,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Quang Đức Dương,585539616713,18/07/1971,0965187206,anon_3c0c2400@medviet-anon.vn,"6 Dũng Vũ, 214975",Khỏe mạnh,11.3,Bà Nhật Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Hà Trần,282005826047,31/01/1951,0707194380,anon_ede04d93@medviet-anon.vn,"4 Bà Nhật Trần, 665579",Tim mạch,5.76,Quang Hải Trần,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Lan Phạm,457207192947,10/04/1968,0399475335,anon_b0d3d379@medviet-anon.vn,"Quận JaneXã
89 Lâm Tấn Trần, 847581",Tiểu đường,4.42,Nhật Dương,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Bà Phương Lê,462910936828,10/05/1938,0381055175,anon_3f5f279a@medviet-anon.vn,"105 Nam Mai, 238739",Khỏe mạnh,11.24,Hồng Mai,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Nhật Đức Phạm,360622697108,12/11/1942,0575552644,anon_9bd984cd@medviet-anon.vn,"338 Chị Nhật Mai, 179046",Huyết áp cao,6.44,Chị Lâm Trần,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Quý cô Chi Nguyễn,895080187247,02/01/2001,0331283473,anon_a89c029c@medviet-anon.vn,"74 Quý cô Xuân Vũ, 161324",Huyết áp cao,11.8,Bác Thành Trần,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Vân Phạm,741521842831,13/10/1960,0358988821,anon_bf278588@medviet-anon.vn,"939 Vân Phạm, 802258",Tiểu đường,6.29,Hải Đức Dương,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Bà Chi Trần,309605385135,06/02/1949,0569565911,anon_3827ec1a@medviet-anon.vn,"354 Quý cô Thảo Nguyễn
Huyện JohnQuận, 377312",Tim mạch,5.91,Kim Trần,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Hạnh Hoàng,376765643943,25/12/2001,0717431792,anon_3ba6a3c8@medviet-anon.vn,"427 Hạnh Mai JohnXã, 137778",Khỏe mạnh,11.2,Chị Lâm Phạm,25/01/2026
